id	university	grid_id
1436	La Trobe Univ	grid.1018.8
1437	Macquarie Univ	grid.1004.5
1438	Univ Sherbrooke	grid.86715.3d
1439	Concordia Univ	
1440	York Univ	grid.21100.32
1441	Mem Univ Newfoundland	grid.25055.37
1442	Yokohama City Univ	grid.268441.d
1443	Nihon Univ	grid.260969.2
1444	Juntendo Univ	grid.258269.2
1451	Massey Univ	grid.148374.d
1452	Univ Malaya	grid.10347.31
1458	Pontificia Univ Católica Chile	
1459	Univ Fed São Paulo	
1460	Univ Fed Santa Catarina	grid.411237.2
1461	Univ Estadual Paulista	grid.410543.7
1462	Univ Cent Florida	grid.170430.1
1463	Drexel Univ	grid.166341.7
1464	Univ Albany - SUNY	grid.265850.c
1465	Georgia State Univ	grid.256304.6
1466	Utah State Univ	grid.53857.3c
1467	San Diego State Univ	grid.263081.e
1468	Univ Toledo	grid.267337.4
1469	Rush Univ	grid.262743.6
1470	Univ Mississippi	grid.251313.7
1471	Univ Wisconsin - Milwaukee	grid.267468.9
1472	Univ New Hampshire	grid.167436.1
1473	Mississippi State Univ	grid.260120.7
1474	George Mason Univ	grid.22448.38
1475	Univ Belgrade	grid.7149.b
1476	Fed Univ Mato Grosso	
1477	Univ East Finland	grid.9668.1
1479	Univ Fed Paraná	grid.20736.30
1480	Univ Fed Viçosa	grid.12799.34
1481	Fed Univ Pernambuco	grid.411227.3
1482	Fed Univ Santa Maria	grid.411239.c
1483	Univ Brasília	grid.7632.0
1484	Univ Fed Ceará	grid.8395.7
1485	Fed Univ São Carlos	grid.411247.5
1486	Rio de Janeiro State Univ	grid.412211.5
1487	State Univ Maringá	grid.271762.7
1488	Univ Fed Bahia	grid.8399.b
1489	Univ Fed Fluminense	grid.411173.1
1490	Londrina State Univ	
1491	Univ Fed Uberlândia	grid.411284.a
1492	Univ Fed Goiás	
1493	Fed Univ Paraíba	grid.411216.1
1494	Fed Univ Lavras	
1495	Fed Univ Pelotas	
1497	Fed Univ Para	grid.271300.7
1498	Fed Univ Rio Grande do Norte	grid.411233.6
1501	Univ Free State	grid.412219.d
1502	Univ KwaZulu-Natal	grid.16463.36
1503	Rhodes Univ	grid.91354.3a
1506	Univ Johannesburg	grid.412988.e
1507	North-West Univ	grid.25881.36
1515	Tehran Univ Med Sci	grid.411705.6
1516	Univ Tehran	grid.46072.37
1517	Sharif Univ Technol	grid.412553.4
1518	Shiraz Univ	grid.412573.6
1519	Tarbiat Modares Univ	grid.412266.5
1520	Amirkabir Univ Technol	grid.411368.9
1521	Shiraz Univ Med Sci	grid.412571.4
1522	Isfahan Univ Technol	grid.411751.7
1523	Iran Univ Sci & Technol	grid.411748.f
1524	Univ Tabriz	grid.412831.d
1525	Shahid Beheshti Univ Med Sci	grid.411600.2
1526	Univ Quebec Montreal	grid.38678.32
1528	Ain Shams Univ	grid.7269.a
1529	Cairo Univ	grid.7776.1
1530	Gunma Univ	grid.256642.1
1532	Univ Canterbury	grid.21006.35
1533	Cent S Univ	grid.216417.7
1534	Southeast Univ	grid.263826.b
1535	E China Normal Univ	grid.22069.3f
1536	S China Univ Technol	grid.79703.3a
1537	Hunan Univ	grid.67293.39
1538	Univ Sci & Technol Beijing	grid.69775.3a
1539	E Carolina Univ	grid.255364.3
1540	Florida Intl Univ	grid.65456.34
1542	Ehime Univ	grid.255464.4
1543	Kindai Univ	grid.258622.9
1544	Kitasato Univ	grid.410786.c
1545	Shinsu Univ	grid.263518.b
1546	Tokai Univ	grid.265061.6
1547	Tokyo Univ Agr & Technol	grid.136594.c
1548	Tottori Univ	grid.265107.7
1549	Yamagata Univ	grid.268394.2
1550	Yamaguchi Univ	grid.268397.1
1552	Univ Texas - Hlth Sci Ctr - San Antonio	grid.267309.9
1553	Univ Texas - Southwestern Med Ctr - Dallas	
1555	Univ Texas - Arlington	grid.267315.4
1557	Univ Texas - El Paso	grid.267324.6
1577	James Cook Univ	grid.1011.1
2335	Korea Univ	grid.222754.4
2340	Seoul Natl Univ	grid.31501.36
2347	Yonsei Univ	grid.15444.30
2354	Kyungpook Natl Univ	grid.258803.4
2357	Chonnam Natl Univ	grid.14005.30
2361	Sungkyunkwan Univ	grid.264381.a
2369	Inha Univ	grid.202119.9
2371	Chungnam Natl Univ	grid.254230.2
2373	Kyung Hee Univ	grid.289247.2
2380	Ewha Womans Univ	grid.255649.9
2383	Hanyang Univ	grid.49606.3d
2389	Univ Ulsan	grid.267370.7
2393	Ajou Univ	grid.251916.8
2395	Jeonbuk Natl Univ	
2397	Cath Univ Korea	grid.411947.e
2404	Konkuk Univ	grid.258676.8
2406	Korea Adv Inst Sci & Technol	grid.37172.30
2407	Pohang Univ Sci & Technol	grid.49100.3c
2408	Pusan Natl Univ	grid.262229.f
2415	Natl Cent Univ	grid.37589.30
2416	Natl Chiao Tung Univ	grid.260539.b
2417	Natl Tsing Hua Univ	grid.38348.34
2418	Natl Cheng Kung Univ	grid.64523.36
2420	Natl Taiwan Univ	grid.19188.39
2422	Natl Yang-Ming Univ	grid.260770.4
2425	Chang Gung Univ	grid.145695.a
2428	Natl Sun Yat-sen Univ	grid.412036.2
2430	Natl Chung Hsing Univ	grid.260542.7
2431	Kaohsiung Med Univ	grid.412019.f
2434	Natl Taiwan Univ Sci & Technol	grid.45907.3f
2435	Indian Inst Sci	grid.34980.36
2436	Indian Inst Technol Bombay	grid.417971.d
2438	Manipal Acad High Educ	grid.411639.8
2440	Vellore Inst Technol	
2441	Indian Inst Technol Kharagpur	grid.429017.9
2443	All India Inst Med Sci	
2445	Indian Inst Technol Madras	
2446	Indian Inst Technol Delhi	grid.417967.a
2448	Banaras Hindu Univ	grid.411507.6
2451	Indian Inst Technol Kanpur	grid.417965.8
2452	Univ Delhi	grid.8195.5
2454	Jadavpur Univ	grid.216499.1
2455	Postgrad Inst Med Educ & Res	grid.415131.3
2458	Panjab Univ	grid.261674.0
2460	Aligarh Muslim Univ	grid.411340.3
2461	Univ Calcutta	grid.59056.3f
2462	Anna Univ	grid.252262.3
2463	Univ Hyderabad	grid.18048.35
2466	Indian Inst Technol Roorkee	grid.19003.3b
2470	Annamalai Univ	grid.411408.8
2472	Jawaharlal Nehru Univ	grid.10706.30
2475	Indian Stat Inst	grid.39953.35
2478	Guru Nanak Dev Univ	grid.411894.1
2489	Bharathiar Univ	grid.411677.2
2490	Jamia Millia Islamia	grid.411818.5
2491	Savitribai Phule Pune Univ	grid.32056.32
2499	Indian Inst Technol Guwahati	grid.417972.e
2515	Pondicherry Univ	grid.412517.4
2525	Mahidol Univ	grid.10223.32
2529	Chiang Mai Univ	grid.7132.7
2531	Chulalongkorn Univ	grid.7922.e
2533	Khon Kaen Univ	grid.9786.0
2535	Prince Songkla Univ	grid.7130.5
2537	Kasetsart Univ	grid.9723.f
2546	Univ Paris-Est Créteil Val de Marne	
2578	Univ Sorbonne Paris Nord	grid.11318.3a
2580	Univ Versailles Saint-Quentin-en-Yvelines	grid.12832.3a
2594	Univ Tours	grid.12366.30
2596	Univ Nantes	grid.4817.a
2604	Univ Caen Normandy	
2621	Univ Poitiers	grid.11166.31
2625	Univ Rennes 1	grid.410368.8
2630	Univ Rouen	grid.10400.35
2634	Univ Strasbourg	grid.11843.3f
2638	Univ Toulouse III - Paul Sabatier	grid.15781.3a
2641	Aix-Marseille Univ	grid.5399.6
2660	Univ Angers	grid.7252.2
2662	Claude Bernard Lyon 1 Univ	grid.7849.2
2683	Univ West Brittany	grid.6289.5
2701	Univ Lorraine	grid.29172.3f
2703	Univ Orléans	grid.112485.b
2779	Inst Natl Polytech Toulouse	grid.15363.32
2812	Univ Waikato	grid.49481.30
2856	Chung-Ang Univ	grid.254224.7
2874	Natl Res Tomsk Polytech Univ	grid.27736.37
2881	Moscow Inst Phys & Technol	grid.18763.3b
2943	Swinburne Univ Technol	grid.1027.4
2944	Univ Canberra	grid.1039.b
2945	West Sydney Univ	
3327	Soochow Univ	grid.263761.7
3328	Univ Electron Sci & Technol China	grid.54549.39
3329	Capital Med Univ	grid.24696.3f
3330	Air Force Med Univ	
3331	Chongqing Univ	grid.190737.b
3332	Beijing Univ Chem Technol	grid.48166.3d
3333	Second Mil Med Univ	grid.73113.37
3334	Beijing Inst Technol	grid.43555.32
3335	Nanjing Med Univ	grid.89957.3a
3336	Beihang Univ	grid.64939.31
3337	Huazhong Agr Univ	grid.35155.37
3338	China Med Univ	grid.412449.e
3339	Nanjing Agr Univ	grid.27871.3b
3340	Zhengzhou Univ	grid.207374.5
3341	Xidian Univ	grid.440736.2
3342	Army Med Univ	
3343	Nanjing Univ Aeronaut & Astronaut	grid.64938.30
3344	S China Normal Univ	grid.263785.d
3345	Northeast Normal Univ	grid.27446.33
3346	Nanjing Univ Sci & Technol	grid.410579.e
3347	Nanjing Tech Univ	
3348	Natl Univ Defense Technol	grid.412110.7
3349	Donghua Univ	grid.255169.c
3350	Ocean Univ China	grid.4422.0
3351	Northeastern Univ	grid.412252.2
3352	Jiangsu Univ	grid.440785.a
3353	Southwest Univ	grid.263906.8
3354	China Pharmaceut Univ	grid.254147.1
3356	Northwest Agr & Forestry Univ	grid.144022.1
3357	Zhejiang Univ Technol	grid.469325.f
3358	Beijing Univ Technol	grid.28703.3e
3359	Wuhan Univ Technol	grid.162110.5
3360	Harbin Med Univ	grid.410736.7
3361	Fuzhou Univ	grid.411604.6
3362	Jinan Univ	grid.258164.c
3363	Chongqing Med Univ	grid.203458.8
3364	Beijing Jiaotong Univ	grid.181531.f
3365	Peking Union Med Coll	grid.506261.6
3366	Nanjing Normal Univ	grid.260474.3
3367	Nanchang Univ	grid.260463.5
3368	Shaanxi Normal Univ	grid.412498.2
3369	Xiangtan Univ	grid.412982.4
3370	South Med Univ	grid.284723.8
3371	Beijing Univ Posts & Telecom	grid.31880.32
3372	Zhejiang Normal Univ	grid.453534.0
3373	S China Agr Univ	grid.20561.30
3374	Yangzhou Univ	grid.268415.c
3375	Southwest Jiaotong Univ	grid.263901.f
3376	Tianjin Med Univ	grid.265021.2
3379	Qingdao Univ Sci & Technol	grid.412610.0
3380	China Univ Geosci	
3381	Cent China Normal Univ	grid.411407.7
3382	Yunnan Univ	grid.440773.3
3383	Henan Univ	grid.256922.8
3384	Shanxi Univ	grid.163032.5
3385	Shanghai Normal Univ	grid.412531.0
3386	Anhui Med Univ	grid.186775.a
3387	Shenyang Pharmaceut Univ	grid.412561.5
3388	Harbin Engn Univ	grid.33764.35
3389	Hunan Normal Univ	grid.411427.5
3390	Shandong Agr Univ	grid.440622.6
3391	Ningbo Univ	grid.203507.3
3392	Northwest Univ	grid.412262.1
3393	Henan Normal Univ	grid.462338.8
3394	Hefei Univ Technol	grid.256896.6
3395	Qingdao Univ	grid.410645.2
3396	Yanshan Univ	grid.413012.5
3397	Wenzhou Med Univ	grid.268099.c
3398	Capital Normal Univ	grid.253663.7
3399	Northeast Forestry Univ	grid.412246.7
3400	Hebei Univ	grid.256885.4
3401	Guangxi Univ	grid.256609.e
3402	Univ Jinan	grid.454761.5
3403	Northwest Normal Univ	grid.412260.3
3404	Anhui Normal Univ	grid.440646.4
3405	Liaocheng Univ	grid.411351.3
3406	Anhui Univ	grid.252245.6
3407	Shandong Normal Univ	grid.410585.d
3408	Hebei Med Univ	grid.256883.2
3409	Nantong Univ	grid.260483.b
3410	China Univ Min & Technol	grid.411510.0
3411	Shantou Univ	grid.263451.7
3413	Hohai Univ	grid.257065.3
3414	Hangzhou Normal Univ	grid.410595.c
3415	Hong Kong Baptist Univ	grid.221309.b
3416	China Univ Petrol Beijing	grid.411519.9
3416	China Univ Petrol Beijing	grid.497420.c
3417	Zhejiang Sci-Tech Univ	grid.413273.0
3418	Beijing Forestry Univ	grid.66741.32
3419	Kunming Univ Sci & Technol	grid.218292.2
3420	Taiyuan Univ Technol	grid.440656.5
3421	N China Elect Power Univ	grid.261049.8
3422	Wenzhou Univ	grid.412899.f
3423	Tianjin Polytech Univ	grid.410561.7
3456	Univ Wyoming	grid.135963.b
3470	N Dakota State Univ	grid.261055.5
3471	Univ Nebraska Med Ctr	
3472	Univ N Texas	grid.266869.5
3475	Lehigh Univ	grid.259029.5
3476	Ohio Univ	grid.20627.31
3476	Ohio Univ	grid.431219.c
3477	Montana State Univ	grid.41891.35
3479	South Illinois Univ - Carbondale	grid.263856.c
3481	Univ Akron	grid.265881.0
3482	Univ Nevada - Las Vegas	grid.272362.0
3483	Univ N Carolina - Charlotte	grid.266859.6
3484	Kent State Univ	grid.258518.3
3484	Kent State Univ	grid.501861.b
3485	Boston Coll	grid.208226.c
3486	New Mexico State Univ	grid.24805.3b
3487	Loma Linda Univ	grid.43582.38
3488	Univ Missouri - Kansas City	
3490	Univ Idaho	grid.266456.5
3491	Univ Memphis	grid.56061.34
3492	Binghamton Univ - SUNY	grid.264260.4
3494	Michigan Technol Univ	grid.259979.9
3495	Missouri Univ Sci & Technol	grid.260128.f
3496	Old Dominion Univ	grid.261368.8
3497	Colorado Sch Mines	grid.254549.b
3498	Uniformed Services Univ Hlth Sci	grid.265436.0
3499	Miami Univ	grid.259956.4
3500	Univ Maine - Orono	grid.21106.34
3502	Portland State Univ	grid.262075.4
3503	Univ Rhode Island	grid.20431.34
3506	Univ Maryland - Baltimore County	grid.266673.0
3507	Univ Montana	grid.253613.0
3508	New Jersey Inst Technol	grid.260896.3
3509	Illinois Inst Technol	grid.62813.3e
3510	Coll William & Mary	grid.264889.9
3512	Marquette Univ	grid.259670.f
3514	Florida Atlantic Univ	grid.255951.f
3515	Univ N Carolina - Greensboro	grid.266860.c
3516	Univ N Dakota	grid.266862.e
3517	Baylor Univ	grid.252890.4
3518	Univ Alaska - Fairbanks	grid.70738.3b
3524	Southern Methodist Univ	grid.263864.d
3527	Univ Denver	grid.266239.a
3528	S Dakota State Univ	grid.263791.8
3532	Oakland Univ	grid.261277.7
3537	Rochester Inst Technol	grid.262613.2
3573	Ryerson Univ	grid.68312.3e
3574	Univ New Brunswick	grid.266820.8
3581	Brock Univ	grid.411793.9
3582	Univ Regina	grid.57926.3f
3634	Univ Toyama	grid.267346.2
3635	Tokyo Women's Med Univ	
3636	Nagoya City Univ	grid.260433.0
3637	Kyoto Prefect Univ Med	grid.272458.e
3638	Tokyo Univ Sci	grid.143643.7
3642	Osaka Prefect Univ	grid.261455.1
3645	Jichi Med Univ	grid.410804.9
3650	Hirosaki Univ	grid.257016.7
3656	Tokyo Metropolitan Univ	grid.265074.2
3687	Curtin Univ	grid.1032.0
3688	Deakin Univ	grid.1021.2
3689	Univ New England	grid.1020.3
3690	Murdoch Univ	grid.1025.6
3691	Victoria Univ - Melbourne	grid.1019.9
3705	Natl Univ Cordoba	grid.10692.3c
3707	Univ Concepción	grid.5380.e
3708	Univ Natl Colombia	grid.10689.36
3709	Mansoura Univ	grid.10251.37
3711	Zagazig Univ	grid.31451.32
3712	Assiut Univ	grid.252487.e
3715	Ferdowsi Univ Mashhad	grid.411301.6
3716	KN Toosi Univ Technol	grid.411976.c
3717	Shahid Beheshti Univ	grid.412502.0
3718	Univ Isfahan	grid.411750.6
3719	Bu-Ali Sina Univ	grid.411807.b
3720	Razi Univ	grid.412668.f
3721	Tabriz Univ Med Sci	grid.412888.f
3722	Univ Guilan	grid.411872.9
3723	Jordan Univ Sci & Technol	grid.37553.37
3724	Univ Jordan	grid.9670.8
3726	Kuwait Univ	grid.411196.a
3727	American Univ Beirut	grid.22903.3a
3728	Univ Putra Malaysia	grid.11142.37
3729	Natl Polytech Inst - Mexico	grid.418275.d
3730	Victoria Univ Wellington	grid.267827.e
3736	Univ Nis	grid.11374.30
3737	Gyeongsang Natl Univ	grid.256681.e
3739	Sogang Univ	grid.263736.5
3740	Kangwon Natl Univ	grid.412010.6
3742	Pukyong Natl Univ	grid.412576.3
3743	Gwangju Inst Sci & Technol	
3744	Chungbuk Natl Univ	grid.254229.a
3746	Chosun Univ	grid.254187.d
3748	Sejong Univ	grid.263333.4
3749	Dong-a Univ	grid.255166.3
3751	Kwangwoon Univ	grid.411202.4
3753	China Med Univ - Taiwan	grid.254145.3
3755	Natl Taipei Univ Technol	grid.412087.8
3756	Taipei Med Univ	grid.412896.0
3758	Feng Chia Univ	grid.411298.7
3759	Chung Yuan Christian Univ	grid.411649.f
3760	National Chung Cheng Univ	grid.412047.4
3761	Natl Taiwan Normal Univ	grid.412090.e
3762	Chung Shan Med Univ	grid.411641.7
3765	Univ Republic	grid.11630.35
6003	Univ Fed ABC	
6071	Univ Fed Juiz de Fora	
6080	Univ Fed Espírito Santo	
7268	Univ Bordeaux	grid.412041.2
9274	Univ Sci Technol Houari Boumediene	grid.420190.e
9301	Univ Ghana	grid.8652.9
9308	Makerere Univ	grid.11194.3c
9424	Univ Antioquia	grid.412881.6
9428	Univ Los Andes Colombia	grid.7247.6
9430	Tanta Univ	grid.412258.8
9438	Thapar Inst Engn & Technol	grid.412436.6
9439	Inst Chem Technol	grid.479974.0
9440	Natl Inst Technol Rourkela	grid.444703.0
9444	Mashhad Univ Med Sci	grid.411583.a
9462	Univ Kashan	grid.412057.5
9463	Isfahan Univ Med Sci	grid.411036.1
9485	Shahid Bahonar Univ Kerman	grid.412503.1
9486	Urmia Univ	grid.412763.5
9487	Yazd Univ	grid.413021.5
9488	Univ Shahrood	grid.440804.c
9489	Univ Mazandaran	grid.411622.2
9490	Semnan Univ	grid.412475.1
9491	Islamic Azad Univ Sci & Res Tehran	grid.472472.0
9501	Shizuoka Univ	grid.263536.7
9508	Shimane Univ	grid.411621.1
9515	Toho Univ	grid.265050.4
9530	Ritsumeikan Univ	grid.262576.2
9532	Nara Inst Sci & Technol	grid.260493.a
9541	Northeast Agr Univ	grid.412243.2
9550	Univ Tek Malaysia	grid.410877.d
9560	Univ Aut Met	grid.7220.7
9568	Technol Monterrey ITESM	grid.419886.a
9570	Univ Ibadan	grid.9582.6
9575	Sultan Qaboos Univ	grid.412846.d
9580	Univ Punjab	grid.11173.35
9581	Univ Karachi	grid.266518.e
9582	Univ Agr Faisalabad	
9589	Sichuan Agr Univ	grid.80510.3c
9590	China Acad Chin Med Sci	
9592	Jiangnan Univ	grid.258151.a
9594	Shenzhen Univ	grid.263488.3
9596	Renmin Univ China	
9597	Guangxi Med Univ	grid.256607.0
9600	Fujian Med Univ	grid.256112.3
9604	Guangdong Univ Technol	grid.411851.8
9606	China Jiliang Univ	grid.411485.d
9610	Nanjing Univ Info Sci & Technol	grid.260478.f
9612	Dalian Med Univ	grid.411971.b
9614	Tianjin Univ Sci & Technol	grid.413109.e
9616	Jiangxi Normal Univ	grid.411862.8
9618	Hubei Univ	grid.34418.3a
9620	Xinjiang Univ	grid.413254.5
9624	Hebei Univ Technol	grid.412030.4
9626	Fujian Normal Univ	grid.411503.2
9628	Heilongjiang Univ	grid.412067.6
9630	Zhejiang Gongshang Univ	grid.413072.3
9632	Shanghai Univ Tradit Chinese Med	
9636	Nanjing Univ Posts & Telecom	grid.453246.2
9640	Guangxi Normal Univ	grid.459584.1
9642	Guangzhou Med Univ	grid.410737.6
9650	Henan Univ Sci & Technol	grid.453074.1
9652	Shandong Univ Technol	grid.412509.b
9654	Guizhou Univ	grid.443382.a
9658	Changzhou Univ	
9662	Nanjing Forestry Univ	grid.410625.4
9664	Tianjin Normal Univ	grid.412735.6
9666	Anhui Univ Technol	grid.440650.3
9668	Shaanxi Univ Sci & Technol	grid.454711.2
9670	Shanghai Ocean Univ	grid.412514.7
9674	Lanzhou Univ Technol	grid.411291.e
9676	Hangzhou Dianzi Univ	grid.411963.8
9678	China Univ Petrol E China	
9680	N Univ China	grid.440581.c
9682	Henan Polytech Univ	grid.412097.9
9692	Novosibirsk State Univ	grid.4605.7
9694	Moscow Engn Phys Inst	grid.183446.c
9695	King Khalid Univ	grid.412144.6
9696	King Abdullah Univ Sci & Technol	grid.45672.32
9700	Yeungnam Univ	grid.413028.c
9704	Univ Seoul	grid.267134.5
9709	Keimyung Univ	grid.412091.f
9711	Dankook Univ	grid.411982.7
9713	Hallym Univ	grid.256753.0
9723	Dongguk Univ	grid.255168.d
9725	Hongik Univ	grid.412172.3
9726	Inje Univ	grid.411612.1
9732	Seoul Ntl Univ Sci & Technol	grid.412485.e
9734	Univ Sci & Technol	grid.412786.e
9790	Natl Taiwan Ocean Univ	grid.260664.0
9794	Natl Def Med Ctr	
9812	United Arab Emirates Univ	grid.43519.3a
9814	Univ Massachusetts Boston	grid.266685.9
9818	Univ Massachusetts Lowell	grid.225262.3
9826	Rutgers - State Univ New Jersey	grid.430387.b
9950	Iran Univ Med Sci	grid.411746.1
10000	Qatar Univ	grid.412603.2
10058	ITMO Univ	grid.35915.3b
10060	Kazan (Volga region) Fed Univ	grid.77268.3c
10084	Ural Fed Univ	grid.412761.7
10109	Univ Calabria	grid.7778.f
10113	Augusta Univ	grid.410427.4
10261	COMSATS Inst Info Technol	
10267	Edith Cowan Univ	grid.1038.a
10324	Inner Mongolia Univ	grid.411643.5
10325	Wuhan Univ Sci & Technol	grid.412787.f
10326	GuangZhou Univ	grid.411863.9
10327	Xuzhou Med Coll	grid.417303.2
10329	Changsha Univ Sci & Technol	grid.440669.9
10330	Xi'An Univ Technol	
10331	Qufu Normal Univ	grid.412638.a
10332	Dalian Maritime Univ	grid.440686.8
10333	Nanjing Univ Chin Med	grid.410745.3
10335	Henan Agr Univ	grid.108266.b
10336	Jiangsu Normal Univ	grid.411857.e
10337	Tianjin Univ Technol	grid.265025.6
10338	Shandong Univ Sci & Technol	grid.412508.a
10339	Beijing Univ Chin Med	grid.24695.3c
10344	Univ Montpellier	grid.121334.6
10345	Australian Cath Univ	grid.411958.0
10432	Univ Lille	grid.503422.2
10435	Univ Chinese Acad Sci	grid.410726.6
10445	Mohammed V Univ	grid.31143.34
10548	Gustave Eiffel Univ	
10551	Univ Paris	
10552	Inst Polytech Paris	grid.508893.f
10553	Univ Paris-Saclay	grid.460789.4
10554	Univ Paris Sci Lettres	
10560	Univ Côte d’Azur	grid.460782.f
10561	Univ Grenoble Alpes	
16188	Ulsan Natl Inst Sci & Technol	grid.42687.3f
16435	Jeju Natl Univ	grid.411277.6
16437	Tezpur Univ	grid.45982.32
16441	Univ Yamanashi	grid.267500.6
16445	Indian Inst Technol (Indian Sch Mines)	
16446	Addis Ababa Univ	grid.7123.7
16482	Inst Natl Recherche Sci	grid.418084.1
18000	Southwest Petrol Univ	grid.437806.e
18001	Univ Shanghai Sci & Technol	grid.267139.8
18002	Fujian Agr & Forestry Univ	grid.256111.0
18003	Xinjiang Med Univ	grid.13394.3c
18004	Chang'an Univ	grid.440661.1
18005	Anhui Agr Univ	grid.411389.6
18006	Huaqiao Univ	grid.411404.4
18008	Harbin Univ Sci & Technol	grid.411994.0
18010	Southwest Univ Sci & Technol	grid.440649.b
18012	Xi'an Univ Arch & Technol	grid.440704.3
18015	Qingdao Agr Univ	grid.412608.9
18016	Henan Univ Technol	grid.412099.7
18017	Guilin Univ Technol	grid.440725.0
18020	Shihezi Univ	grid.411680.a
18021	Chengdu Univ Technol	grid.411288.6
18023	Shanxi Med Univ	grid.263452.4
18026	Hunan Agr Univ	grid.257160.7
18028	Kunming Med Univ	grid.285847.4
18030	China Three Gorges Univ	grid.254148.e
18031	Xinxiang Med Univ	grid.412990.7
18032	Hunan Univ Sci & Technol	grid.411429.b
18033	S Cent Univ Nationalities	grid.412692.a
18034	Guangdong Pharmaceut Univ	grid.411847.f
18036	Wuhan Institute Technol	grid.433800.c
18037	Hainan Univ	grid.428986.9
18040	JiLin Agr Univ	
18041	N China Univ Sci & Technol	grid.440734.0
18043	Univ S China	grid.412017.1
18053	Babol Noshirvani Univ Technol	grid.411496.f
18055	Sahand Univ Technol	grid.412345.5
18058	Univ Zanjan	grid.412673.5
18065	Univ Teknologi Petronas	grid.444487.f
18066	Natl Univ Sci & Technol - Islamabad	grid.412117.0
18069	Gachon Univ	grid.256155.0
18072	Auckland Univ Technol	grid.252547.3
18076	Univ Tunis El Manar	grid.12574.35
18077	Univ Monastir	grid.411838.7
18085	Texas State Univ	grid.264772.2
18090	Charles Sturt Univ	grid.1037.5
18430	Univ California - Merced	grid.266096.d
18535	Zhejiang Chinese Med Univ	grid.268505.c
18537	Shenyang Agr Univ	grid.412557.0
18540	Shanghai Maritime Univ	grid.412518.b
18542	Chongqing Univ Posts & Telecommun	grid.411587.e
18546	Guangzhou Univ Chinese Med	grid.411866.c
18555	Al-Azhar Univ	grid.411303.4
18560	Shahid Chamran Univ Ahwaz	grid.412504.6
18565	Ariel Univ	grid.411434.7
18584	Incheon Natl Univ	grid.412977.e
18682	Sorbonne Univ	grid.462844.8
18685	Univ Sunshine Coast	grid.1034.6
18700	South Univ Sci & Technol China	grid.263817.9
18701	Anhui Univ Sci & Technol	grid.440648.a
18707	Beijing Technol & Business Univ	grid.411615.6
18711	Yangtze Univ	grid.410654.2
18801	Univ Nigeria	grid.10757.34
18891	Singapore Univ Technol & Design	grid.263662.5
18894	Ton Duc Thang Univ	grid.444812.f
18980	Daegu Gyeongbuk Inst Sci & Technol DGIST	grid.417736.0
18988	Khalifa Univ Sci & Technol	grid.440568.b
19006	Univ Clermont-Auvergne	
19121	Malek Ashtar Univ Technol	grid.440788.7
19130	Indian Inst Technol Indore	grid.450280.b
19131	Homi Bhabha Natl Inst	grid.450257.1
19132	Acad Sci & Innovat Res	grid.469887.c
19133	IIEST Shibpur	grid.440667.7
19138	SRM Inst Sci & Technol	grid.412742.6
32912	Universidade Lisboa	grid.9983.b
33166	Univ Hlth Sci	
101154	Soonchunhyang Univ	grid.412674.2
101177	Payame Noor Univ	grid.412462.7
